airport_id,airport_name,iata,betweenness
2370,Jeju International Airport,CJU,32850.26704810041
73,Halifax / Stanfield International Airport,YHZ,32739.9967932112
3486,Cleveland Hopkins International Airport,CLE,32563.460315132394
287,Tunis Carthage International Airport,TUN,32409.33562979462
535,Edinburgh Airport,EDI,32332.97451243894
188,Goose Bay Airport,YYR,32250.963375531
1959,Rarotonga International Airport,RAR,31981.474123207656
4021,Billings Logan International Airport,BIL,31969.070693717353
3995,Ilulissat Airport,JAV,31935.22828405119
3269,Kota Kinabalu International Airport,BKI,31473.886762917937
2223,Benazir Bhutto International Airport,nan,30962.86860933849
351,Berlin-Tegel Airport,TXL,29036.1235834665
1157,Tripoli International Airport,TIP,28722.585627616325
635,Bodø Airport,BOO,28207.871019194183
1852,Cancún International Airport,CUN,28167.36249856557
1335,Lyon Saint-Exupéry Airport,LYS,28157.881697909917
665,Trondheim Airport Værnes,TRD,28090.808903787933
1353,Marseille Provence Airport,MRS,27952.049635563842
